,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Havøysund,71.0,24.66,48.2,100,75,9.17,NO,1597791522
375,Krasnovishersk,60.41,57.08,47.62,97,100,5.46,RU,1597791523
376,Lipin Bor,60.26,37.98,47.64,83,2,5.73,RU,1597791524
377,Tiruvannamalai,12.22,79.07,80.22,72,100,6.42,IN,1597791525
378,Port Hardy,50.7,-127.42,66.2,63,75,4.7,CA,1597791277
379,Ayagoz,47.97,80.44,58.24,69,1,12.06,KZ,1597791527
380,Port Lincoln,-34.73,135.87,54.23,70,63,22.59,AU,1597791398
381,Yerbogachën,61.28,108.01,52.0,60,13,2.73,RU,1597791529
382,Deputatsky,69.3,139.9,39.47,97,100,4.03,RU,1597791239
383,Abhā,18.22,42.51,73.4,64,73,5.82,SA,1597791532
384,Buin,-33.73,-70.75,50.0,66,90,3.36,CL,1597791533
385,Labuhan,-6.88,112.21,75.24,81,29,6.93,ID,1597791534
386,Saint Paul Harbor,57.79,-152.41,60.8,72,20,9.17,US,1597791535
387,Visby,57.64,18.3,59.0,100,0,4.7,SE,1597791536
388,Susaki,33.37,133.28,82.4,78,99,9.17,JP,1597791537
389,Tabou,4.42,-7.35,75.02,88,65,8.86,CI,1597791538
390,Richards Bay,-28.78,32.04,58.39,51,61,7.58,ZA,1597791540
391,Chicama,-7.84,-79.15,63.43,73,41,8.72,PE,1597791541
392,Thul,28.24,68.78,91.89,54,70,4.14,PK,1597791542
393,Torit,4.41,32.57,69.53,94,96,1.83,SS,1597791543
394,Kyren,51.68,102.14,57.51,69,71,2.86,RU,1597791544
395,Sankheda,22.17,73.58,77.81,92,100,8.88,IN,1597791545
396,Kedrovyy,56.17,91.82,57.2,93,100,3.58,RU,1597791546
397,Xingyi,24.19,102.82,60.28,99,100,2.82,CN,1597791547
398,Fairbanks,64.84,-147.72,72.0,35,1,1.48,US,1597791548
399,Quatre Cocos,-20.21,57.76,71.6,73,40,14.99,MU,1597791549
400,Uglegorsk,49.08,142.03,64.99,89,76,10.94,RU,1597791551
401,Jiuquan,39.74,98.52,61.2,31,0,1.05,CN,1597791552
402,Point Pedro,9.82,80.23,80.42,86,97,17.65,LK,1597791553
403,Zabul Province,32.25,67.25,74.03,20,24,11.23,AF,1597791554
404,Ocampo,21.65,-101.5,69.08,54,67,15.75,MX,1597791555
405,Sinyavino,59.91,31.07,54.0,71,0,4.45,RU,1597791556
406,Smithers,54.78,-127.17,66.2,63,75,2.24,CA,1597791557
407,Voyvozh,62.89,54.96,49.68,99,100,6.06,RU,1597791558
408,Isabela,6.71,121.97,79.14,79,96,1.41,PH,1597791559
409,Tolaga Bay,-38.37,178.3,56.25,84,100,18.07,NZ,1597791560
410,Esso,55.93,158.7,54.23,84,100,4.68,RU,1597791562
411,Moïssala,8.34,17.77,72.0,94,100,1.21,TD,1597791563
412,Texarkana,33.43,-94.05,89.6,35,1,11.41,US,1597791564
413,Coahuayana Viejo,18.73,-103.68,75.2,88,90,11.41,MX,1597791565
414,Ukhta,63.57,53.68,48.92,97,100,7.34,RU,1597791566
415,Maseru,-29.32,27.48,27.82,89,0,7.56,LS,1597791567
416,Lerwick,60.15,-1.15,57.2,100,92,5.82,GB,1597791568
417,Dalvik,65.97,-18.53,50.0,81,90,12.75,IS,1597791569
418,Dapaong,10.86,0.2,75.34,91,98,5.79,TG,1597791570
419,Boddam,57.47,-1.78,59.0,100,75,2.24,GB,1597791572
420,Kununurra,-15.77,128.73,69.8,61,4,4.65,AU,1597791573
421,Berlevåg,70.86,29.09,50.0,81,75,6.93,NO,1597791574
422,Nchelenge,-9.35,28.73,68.05,45,1,4.14,ZM,1597791575
423,Baiyin,36.56,104.21,55.0,93,0,4.47,CN,1597791576
424,Tartagal,-22.52,-63.8,69.42,55,25,1.92,AR,1597791577
425,Dawei,14.08,98.2,77.07,83,100,2.3,MM,1597791578
426,Ruteng,-8.61,120.47,60.85,97,17,1.97,ID,1597791579
427,Mīzan Teferī,6.98,35.58,62.17,84,100,1.61,ET,1597791580
428,Pombas,17.15,-25.02,82.4,74,40,2.24,CV,1597791581
429,Caravelas,-17.71,-39.25,73.08,83,0,8.43,BR,1597791389
430,Santa Cruz Cabrália,-16.28,-39.02,73.4,78,90,5.82,BR,1597791584
431,Flinders,-34.58,150.86,63.0,75,0,8.99,AU,1597791585
432,Huilong,31.81,121.66,81.0,92,0,1.01,CN,1597791335
433,Nautla,20.22,-96.78,84.99,69,94,8.77,MX,1597791587
434,Severo-Yeniseyskiy,60.37,93.04,50.85,74,100,3.4,RU,1597791588
435,Gizo Government Station,-8.1,156.84,81.93,78,81,7.85,SB,1597791589
436,Birao,10.28,22.79,73.36,91,95,4.25,CF,1597791590
437,Makakilo City,21.35,-158.09,87.8,48,75,8.05,US,1597791592
438,Yulara,-25.24,130.99,42.8,52,0,5.82,AU,1597791593
439,Shakawe,-18.37,21.85,54.41,35,0,8.61,BW,1597791594
440,Kysyl-Syr,63.9,122.76,58.64,57,90,6.35,RU,1597791595
441,Mbanza-Ngungu,-5.25,14.87,70.34,79,19,10.16,CD,1597791596
442,Mayumba,-3.43,10.66,73.29,89,97,9.26,GA,1597791597
443,Stephenville,32.22,-98.2,95.0,26,1,9.17,US,1597791598
444,Saint-Augustin,51.23,-58.65,59.63,84,99,18.9,CA,1597791374
445,Vacaria,-28.51,-50.93,64.0,70,100,7.27,BR,1597791600
446,Selaphum,16.03,103.94,75.2,94,75,5.82,TH,1597791602
447,Pitanga,-24.76,-51.76,59.83,96,99,5.64,BR,1597791603
448,Maragogi,-9.01,-35.22,73.65,80,79,11.3,BR,1597791412
449,Grand-Santi,4.25,-54.38,74.55,95,79,3.04,GF,1597791606
450,Cairns,-16.92,145.77,69.8,73,54,10.29,AU,1597791607
451,Kisesa,-3.08,34.15,66.24,62,55,2.06,TZ,1597791608
452,Muros,42.78,-9.06,68.0,92,100,15.99,ES,1597791610
453,Ola,59.58,151.28,51.1,89,100,11.77,RU,1597791611
454,Thinadhoo,0.53,72.93,83.91,71,14,8.41,MV,1597791612
455,New Amsterdam,6.25,-57.52,78.4,87,95,4.79,GY,1597791613
456,Narón,43.52,-8.15,72.0,77,75,16.11,ES,1597791614
457,Macamic,48.75,-79.0,59.0,72,75,9.17,CA,1597791615
458,Hamīrpur,25.95,80.15,85.59,76,15,1.95,IN,1597791617
459,Vredendal,-31.67,18.5,47.34,71,94,8.03,ZA,1597791618
460,Charlestown,-32.95,151.67,61.0,66,0,1.99,AU,1597791615
461,Zmeinogorsk,51.16,82.19,54.39,87,4,6.38,RU,1597791620
462,Lebanon,36.21,-86.29,86.0,54,20,6.93,US,1597791405
463,Dumka,24.27,87.25,78.94,93,5,6.98,IN,1597791622
464,Tsiroanomandidy,-18.77,46.03,58.8,62,0,2.73,MG,1597791623
465,Xuanzhou,30.95,118.76,81.66,77,1,3.67,CN,1597791624
466,Beibei,29.83,106.43,71.01,94,20,2.24,CN,1597791626
467,Puerto Quijarro,-17.78,-57.77,84.61,23,1,0.92,BO,1597791627
468,Methóni,36.82,21.7,78.01,88,0,8.03,GR,1597791628
469,Laguna,38.42,-121.42,107.01,20,1,3.36,US,1597791363
470,Pemangkat,1.17,108.97,76.91,88,99,4.79,ID,1597791343
471,Broken Hill,-31.95,141.43,51.8,66,40,21.92,AU,1597791632
472,Asten,51.4,5.75,63.0,92,9,1.01,NL,1597791633
473,Pechenga,69.53,31.17,50.0,87,75,14.99,RU,1597791634
474,Madimba,-10.4,40.33,73.4,88,75,4.56,TZ,1597791635
475,San Carlos,9.66,-68.58,74.93,95,99,1.52,VE,1597791636
476,Fare,-16.7,-151.02,78.39,76,0,20.27,PF,1597791637
477,Xichang,27.9,102.26,60.04,81,100,1.05,CN,1597791639
478,Along,28.17,94.77,71.58,89,44,1.34,IN,1597791640
479,Salgado de São Félix,-7.36,-35.44,75.2,78,20,10.29,BR,1597791641
480,Half Moon Bay,37.46,-122.43,93.2,64,1,17.22,US,1597791642
481,Bontang,0.13,117.5,76.06,90,99,6.73,ID,1597791643
482,Tiassalé,5.9,-4.83,71.22,93,83,3.74,CI,1597791645
483,Sayán,-11.14,-77.19,63.46,54,0,2.84,PE,1597791646
484,Concordia,-31.39,-58.02,66.2,34,0,6.93,AR,1597791647
485,Dāmghān,36.17,54.35,71.11,54,0,2.82,IR,1597791648
486,Amapá,1.0,-52.0,76.26,78,95,4.23,BR,1597791649
487,Teya,60.38,92.63,53.78,69,100,2.93,RU,1597791651
488,La Providencia,28.72,-111.58,99.0,52,0,11.99,MX,1597791652
489,Alice Springs,-23.7,133.88,55.4,26,0,6.93,AU,1597791457
490,Roebourne,-20.78,117.13,64.13,38,60,13.96,AU,1597791654
491,Puerto Rico,-26.8,-55.02,64.9,95,73,1.3,AR,1597791655
492,Chernyshevskiy,63.01,112.47,54.45,58,81,2.86,RU,1597791656
493,Bāfq,31.61,55.41,82.87,20,51,4.85,IR,1597791657
494,Cootamundra,-34.65,148.03,46.99,85,79,3.0,AU,1597791548
495,Sakaiminato,35.55,133.23,77.0,94,20,1.12,JP,1597791660
496,Nishihara,26.18,127.76,84.2,88,40,4.7,JP,1597791661
497,Arica,-18.48,-70.3,62.6,77,90,12.75,CL,1597791662
498,Rāmpura,30.25,75.23,83.1,79,13,5.93,IN,1597791664
499,Olafsvik,64.89,-23.71,52.2,84,60,12.15,IS,1597791665
500,Herat Province,34.5,62.0,61.48,44,0,13.4,AF,1597791666
501,Ginir,7.13,40.7,60.28,84,100,11.95,ET,1597791667
502,Gardner,42.58,-72.0,82.4,30,1,11.41,US,1597791669
503,Ullapool,57.9,-5.16,55.0,92,5,1.01,GB,1597791670
504,Mehamn,71.04,27.85,50.0,81,75,6.93,NO,1597791671
505,Olinda,-8.01,-34.86,78.8,69,40,11.41,BR,1597791672
506,Muzaffarabad,34.37,73.47,76.98,66,81,3.31,PK,1597791646
507,Guerrero Negro,27.98,-114.06,88.74,40,0,15.79,MX,1597791626
508,Ise,34.48,136.7,84.99,80,46,1.01,JP,1597791675
509,Pangkalanbuun,-2.68,111.62,72.52,95,85,2.24,ID,1597791676
510,Oktyabr'skoye,43.06,44.74,53.6,93,0,4.47,RU,1597791678
511,Port Hedland,-20.32,118.57,55.4,50,10,6.93,AU,1597791391
512,Roscommon,53.63,-8.18,57.0,93,65,5.01,IE,1597791680
513,Pimenta Bueno,-11.67,-61.19,87.17,22,6,3.8,BR,1597791681
514,Lexington,37.99,-84.48,66.99,93,90,10.29,US,1597791643
515,Mattru,7.62,-11.83,74.16,96,90,3.58,SL,1597791684
516,Aktash,50.3,87.73,40.33,93,100,3.15,RU,1597791685
517,Ciudad del Carmen,18.63,-91.83,86.0,74,75,10.29,MX,1597791661
518,Svobodnyy,51.4,128.13,53.17,69,0,13.22,RU,1597791410
519,Unguía,8.04,-77.09,91.4,63,40,8.05,CO,1597791688
520,Naples,40.83,14.25,77.0,78,20,2.24,IT,1597791440
521,Kalanguy,51.02,116.52,51.01,72,0,2.1,RU,1597791690
522,Skjervøy,70.03,20.97,52.75,80,96,4.45,NO,1597791691
523,Chinsali,-10.54,32.08,57.18,59,42,2.48,ZM,1597791692
524,Horadiz,39.45,47.34,71.6,73,75,4.72,AZ,1597791694
525,Matamoros,25.53,-103.25,89.6,27,75,11.41,MX,1597791695
526,Ixtapa,20.7,-105.2,82.4,78,90,2.24,MX,1597791655
527,Hamina,60.57,27.2,55.99,93,0,3.36,FI,1597791697
528,Nouakchott,18.09,-15.98,82.4,78,40,13.87,MR,1597791534
529,Caluquembe,-13.78,14.68,53.67,37,25,0.63,AO,1597791699
530,Bonthe,7.53,-12.51,76.6,89,85,9.35,SL,1597791700
531,Matara,5.95,80.54,77.2,90,97,7.65,LK,1597791701
532,Gazojak,41.19,61.4,67.71,29,0,9.86,TM,1597791703
533,Batī,11.18,40.02,66.97,75,100,9.62,ET,1597791704
534,Amalāpuram,16.58,82.02,77.54,91,100,6.17,IN,1597791705
535,Oksovskiy,62.61,39.9,39.22,94,0,3.06,RU,1597791706
536,Mikkeli,61.69,27.27,53.01,93,5,3.33,FI,1597791707
537,Båtsfjord,70.63,29.72,46.4,93,98,2.24,NO,1597791708
538,Touros,-5.2,-35.46,75.2,88,40,6.93,BR,1597791709
539,Rahimatpur,17.6,74.2,71.51,90,100,5.61,IN,1597791711
540,Ankazoabo,-22.28,44.52,62.47,59,0,2.62,MG,1597791712
541,Hirara,24.8,125.28,82.4,94,75,3.36,JP,1597791713
542,Vermilion,40.17,-87.75,77.0,53,40,10.29,US,1597791714
543,Paralímni,35.04,33.98,78.8,88,0,3.36,CY,1597791715
544,Beringovskiy,63.05,179.32,53.92,62,11,11.65,RU,1597791716
545,Porto-Novo,6.5,2.6,75.2,94,20,8.05,BJ,1597791717
546,Pangnirtung,66.15,-65.71,69.8,52,75,8.05,CA,1597791718
547,Nuuk,64.18,-51.72,66.2,42,5,4.7,GL,1597791720
548,Kargasok,59.06,80.86,53.11,96,100,7.45,RU,1597791721
549,Barranca,-10.75,-77.77,60.3,82,12,11.3,PE,1597791722
550,Jiaocheng,24.68,116.14,77.49,88,52,2.59,CN,1597791723
551,Kitzbühel,47.45,12.39,55.0,96,88,2.73,AT,1597791724
552,Naryan-Mar,67.67,53.09,49.86,91,100,12.24,RU,1597791725
553,Killybegs,54.63,-8.45,55.0,93,16,4.12,IE,1597791726
554,Aksarka,66.56,67.8,51.31,86,32,9.31,RU,1597791728
555,Stolin,51.89,26.85,63.82,94,100,4.25,BY,1597791729
